Vehicle Class,Coverage,Renew Offer Type,EmploymentStatus,Marital Status,Education,Number of Policies,Monthly Premium Auto,Total Claim Amount,Income,Customer Lifetime Value
Four-Door Car,Basic,Offer4,Unemployed,Single,Bachelor,3.0,73.0,525.6,0.0,4774.379355
Sports Car,Extended,Offer1,Retired,Divorced,College,1.0,139.0,667.2,12902.0,4904.894731
Two-Door Car,Basic,Offer3,Employed,Single,College,2.0,66.0,84.520776,33175.0,20380.06652
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,2.0,65.0,468.0,0.0,6993.838856
Four-Door Car,Extended,Offer4,Employed,Single,Bachelor,1.0,99.0,475.2,88410.0,3964.81296
Luxury SUV,Basic,Offer1,Employed,Divorced,Bachelor,8.0,186.0,892.8,22697.0,14318.44839
Four-Door Car,Extended,Offer3,Unemployed,Single,College,3.0,84.0,980.169081,0.0,5936.011773
SUV,Extended,Offer1,Employed,Married,College,6.0,122.0,535.606632,23649.0,9706.375239
Four-Door Car,Basic,Offer2,Employed,Married,Doctor,7.0,65.0,4.619402,69991.0,5214.342348
SUV,Basic,Offer2,Employed,Divorced,Master,1.0,114.0,547.2,79487.0,4626.801093
SUV,Basic,Offer1,Employed,Single,Bachelor,3.0,101.0,198.84453,49682.0,7757.924239
Two-Door Car,Extended,Offer1,Medical Leave,Divorced,High School or Below,1.0,99.0,475.2,23051.0,3837.357574
Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,2.0,71.0,41.229484,94242.0,8595.982289
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,3.0,69.0,485.705851,39626.0,5461.548993
SUV,Basic,Offer2,Employed,Married,High School or Below,3.0,109.0,638.098653,26032.0,8510.758196
SUV,Basic,Offer1,Medical Leave,Single,High School or Below,2.0,113.0,542.4,17101.0,12298.6863
Four-Door Car,Basic,Offer4,Employed,Single,Bachelor,3.0,64.0,307.2,29834.0,4854.745666
Two-Door Car,Extended,Offer1,Employed,Married,Bachelor,2.0,99.0,513.252488,36431.0,11760.87637
Four-Door Car,Basic,Offer1,Employed,Divorced,Doctor,9.0,69.0,14.812808,59311.0,5480.070226
SUV,Basic,Offer2,Employed,Divorced,High School or Below,1.0,112.0,662.715218,37800.0,4424.579094
Four-Door Car,Basic,Offer1,Employed,Married,Doctor,6.0,69.0,330.138332,43091.0,5450.394878
Four-Door Car,Basic,Offer1,Unemployed,Single,College,2.0,68.0,326.4,0.0,13197.92893
Four-Door Car,Basic,Offer2,Unemployed,Married,College,1.0,69.0,124.180159,0.0,2443.925701
SUV,Basic,Offer1,Retired,Divorced,Bachelor,2.0,115.0,828.0,14973.0,12168.74492
Two-Door Car,Extended,Offer2,Employed,Single,Bachelor,2.0,90.0,108.118855,81439.0,10391.78109
SUV,Basic,Offer3,Employed,Divorced,College,1.0,115.0,23.810491,67801.0,4505.405812
Two-Door Car,Premium,Offer2,Employed,Married,Bachelor,4.0,116.0,346.265295,85654.0,9247.547393
Four-Door Car,Basic,Offer4,Unemployed,Married,High School or Below,1.0,69.0,331.2,0.0,2537.744494
Four-Door Car,Basic,Offer2,Unemployed,Single,High School or Below,1.0,71.0,517.056582,0.0,2533.796807
Four-Door Car,Basic,Offer3,Employed,Married,College,1.0,64.0,307.2,37072.0,2542.845763
SUV,Extended,Offer1,Medical Leave,Divorced,College,2.0,121.0,109.814874,10563.0,13523.12989
SUV,Basic,Offer1,Employed,Single,Bachelor,2.0,104.0,499.2,44428.0,12036.62051
Four-Door Car,Basic,Offer1,Medical Leave,Married,College,1.0,61.0,294.92773,24641.0,2311.382109
SUV,Extended,Offer1,Unemployed,Married,College,3.0,122.0,585.6,0.0,8630.696198
Four-Door Car,Extended,Offer1,Employed,Married,Bachelor,2.0,96.0,298.362415,97830.0,11628.73401
Two-Door Car,Extended,Offer1,Employed,Single,Bachelor,1.0,87.0,488.84232,38821.0,3339.299496
Four-Door Car,Basic,Offer4,Unemployed,Married,College,5.0,67.0,216.196521,0.0,5028.739297
Two-Door Car,Basic,Offer2,Employed,Married,College,3.0,68.0,301.437365,86132.0,5505.057003
Two-Door Car,Extended,Offer2,Employed,Married,High School or Below,7.0,84.0,599.000883,56980.0,6689.022728
Four-Door Car,Extended,Offer3,Employed,Married,College,1.0,99.0,167.174678,39101.0,3978.665051
Four-Door Car,Basic,Offer3,Medical Leave,Married,Bachelor,1.0,63.0,182.964184,18064.0,2361.883909
Two-Door Car,Basic,Offer1,Employed,Married,High School or Below,1.0,65.0,312.0,22562.0,2584.203924
Four-Door Car,Basic,Offer3,Employed,Married,College,1.0,65.0,150.235884,49308.0,2597.864075
Four-Door Car,Basic,Offer1,Medical Leave,Divorced,Master,8.0,64.0,460.8,19834.0,4241.636538
Luxury SUV,Basic,Offer1,Medical Leave,Single,College,1.0,194.0,970.688934,24030.0,7048.384055
Two-Door Car,Basic,Offer1,Employed,Married,Master,3.0,69.0,331.2,31530.0,5460.373249
SUV,Extended,Offer2,Employed,Divorced,Bachelor,3.0,131.0,984.170299,30604.0,9915.90229
Four-Door Car,Basic,Offer1,Unemployed,Single,College,2.0,67.0,482.4,0.0,19668.86758
Sports Car,Extended,Offer3,Unemployed,Single,High School or Below,6.0,139.0,1000.8,0.0,9817.026936
Sports Car,Extended,Offer1,Retired,Divorced,College,1.0,139.0,667.2,12902.0,4904.894731
Two-Door Car,Basic,Offer1,Unemployed,Single,College,4.0,64.0,759.285255,0.0,4194.906755
SUV,Basic,Offer2,Employed,Married,College,2.0,112.0,784.65781,50631.0,13297.71225
Two-Door Car,Basic,Offer1,Employed,Married,Bachelor,8.0,74.0,45.425684,30968.0,5759.011129
Sports Car,Extended,Offer3,Unemployed,Single,High School or Below,2.0,124.0,928.817071,0.0,17253.72944
SUV,Basic,Offer3,Employed,Married,High School or Below,2.0,101.0,410.508316,42995.0,11982.42085
SUV,Extended,Offer1,Employed,Married,Master,1.0,138.0,139.826393,45971.0,5512.342258
Four-Door Car,Basic,Offer1,Employed,Married,College,6.0,65.0,136.684141,52629.0,5206.118179
SUV,Basic,Offer1,Unemployed,Married,Bachelor,7.0,118.0,153.176419,0.0,8356.181097
Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,1.0,71.0,56.092247,79189.0,2878.766728
Four-Door Car,Basic,Offer4,Employed,Divorced,Bachelor,1.0,70.0,336.0,55005.0,2808.078361
Four-Door Car,Extended,Offer1,Retired,Divorced,High School or Below,4.0,84.0,604.8,12201.0,6071.907243
Luxury SUV,Basic,Offer1,Unemployed,Single,Bachelor,5.0,186.0,1441.843837,0.0,11972.78231
Four-Door Car,Extended,Offer2,Employed,Single,Doctor,1.0,90.0,634.385937,28248.0,3536.431774
Four-Door Car,Extended,Offer2,Employed,Divorced,College,1.0,81.0,207.75186,62873.0,3230.576665
SUV,Basic,Offer4,Unemployed,Single,Bachelor,3.0,101.0,1021.719397,0.0,6857.519928
Sports Car,Extended,Offer3,Employed,Married,College,8.0,133.0,80.70505,46707.0,10517.15638
Four-Door Car,Basic,Offer2,Medical Leave,Single,College,9.0,63.0,302.4,22571.0,4605.036646
Four-Door Car,Basic,Offer2,Employed,Married,College,9.0,64.0,300.940297,80797.0,5166.190278
Two-Door Car,Basic,Offer1,Unemployed,Married,College,3.0,69.0,344.469652,0.0,5171.272924
Luxury Car,Basic,Offer3,Employed,Married,College,3.0,198.0,1396.702365,54833.0,15512.24997
Two-Door Car,Basic,Offer2,Retired,Married,College,5.0,66.0,316.8,26802.0,4636.54647
Two-Door Car,Basic,Offer1,Employed,Married,Bachelor,2.0,64.0,282.146354,77642.0,7710.912153
Four-Door Car,Extended,Offer4,Employed,Married,College,2.0,96.0,4.334425,84581.0,15435.68882
Two-Door Car,Basic,Offer1,Unemployed,Married,College,2.0,68.0,489.6,0.0,7452.543017
Sports Car,Basic,Offer4,Retired,Divorced,College,2.0,117.0,561.6,13624.0,27937.75093
SUV,Basic,Offer2,Employed,Married,College,1.0,108.0,112.660916,75648.0,4349.30875
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,3.0,65.0,288.572108,35625.0,5107.163002
Four-Door Car,Basic,Offer2,Employed,Married,Master,1.0,64.0,187.903224,26047.0,2547.370551
Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,4.0,67.0,266.996814,61894.0,5353.932122
Four-Door Car,Extended,Offer2,Employed,Single,Bachelor,2.0,82.0,47.952426,81639.0,16548.85665
Two-Door Car,Extended,Offer1,Disabled,Divorced,Master,1.0,79.0,483.731784,20075.0,2913.323811
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,8.0,67.0,321.6,22627.0,5285.307579
Two-Door Car,Extended,Offer4,Unemployed,Married,Bachelor,1.0,79.0,168.89233,0.0,2863.043304
Two-Door Car,Basic,Offer2,Employed,Married,High School or Below,1.0,67.0,407.776546,62452.0,2671.817549
Four-Door Car,Basic,Offer2,Unemployed,Divorced,High School or Below,2.0,63.0,685.12694,0.0,16468.22079
Four-Door Car,Premium,Offer2,Employed,Married,Bachelor,2.0,104.0,499.2,81400.0,16699.46158
Luxury SUV,Extended,Offer1,Unemployed,Single,Bachelor,1.0,245.0,2345.413441,0.0,8672.229719
Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,1.0,97.0,315.879728,95018.0,3900.906002
Two-Door Car,Basic,Offer2,Employed,Single,Master,1.0,65.0,312.0,20200.0,2417.777032
Four-Door Car,Extended,Offer4,Employed,Single,College,2.0,86.0,425.662574,30430.0,9707.647552
Four-Door Car,Basic,Offer2,Employed,Married,College,1.0,72.0,226.10336,94178.0,2871.145075
SUV,Basic,Offer3,Employed,Divorced,Bachelor,1.0,113.0,497.047297,61953.0,4416.206243
Sports Car,Basic,Offer1,Employed,Single,Bachelor,2.0,105.0,22.45383,22220.0,36229.40842
Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,4.0,83.0,100.652984,23772.0,6687.593818
Luxury Car,Basic,Offer1,Employed,Married,Master,1.0,191.0,985.193759,48689.0,7783.78421
Four-Door Car,Basic,Offer2,Employed,Single,Bachelor,1.0,63.0,61.769564,89451.0,2530.705137
Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,2.0,74.0,225.518065,35300.0,26305.41541
Four-Door Car,Basic,Offer2,Employed,Single,College,2.0,73.0,525.6,21733.0,8550.386579
Two-Door Car,Basic,Offer1,Employed,Married,College,2.0,66.0,316.8,52342.0,10426.08551
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,2.0,66.0,475.2,0.0,6889.557028
Two-Door Car,Extended,Offer1,Medical Leave,Divorced,High School or Below,2.0,97.0,44.730323,27339.0,10626.80746
Four-Door Car,Basic,Offer1,Medical Leave,Divorced,High School or Below,1.0,65.0,329.206567,25965.0,2491.257604
Four-Door Car,Basic,Offer2,Employed,Divorced,Bachelor,2.0,73.0,350.4,29540.0,8697.882675
Four-Door Car,Extended,Offer3,Disabled,Single,Bachelor,1.0,88.0,633.6,16061.0,3239.124699
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,2.0,67.0,321.6,65636.0,8013.895125
Two-Door Car,Premium,Offer2,Employed,Married,High School or Below,1.0,116.0,556.8,76157.0,4669.22664
Four-Door Car,Extended,Offer1,Unemployed,Single,High School or Below,1.0,96.0,726.132858,0.0,3482.038245
Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,3.0,64.0,126.049033,92427.0,5113.899098
Four-Door Car,Basic,Offer2,Unemployed,Single,Bachelor,1.0,74.0,532.8,0.0,2604.84712
Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,2.0,66.0,316.8,32225.0,7851.349465
Four-Door Car,Extended,Offer3,Unemployed,Single,College,1.0,83.0,708.693556,0.0,2987.949471
Two-Door Car,Extended,Offer2,Employed,Married,Master,2.0,94.0,107.187926,73359.0,30154.68108
Four-Door Car,Extended,Offer2,Employed,Single,College,2.0,89.0,427.2,28754.0,10155.30044
SUV,Extended,Offer2,Employed,Married,Master,3.0,129.0,347.075948,58327.0,10364.34749
Four-Door Car,Basic,Offer1,Disabled,Married,Doctor,1.0,62.0,297.6,25703.0,2435.619979
Sports Car,Basic,Offer1,Disabled,Married,Bachelor,1.0,103.0,535.080276,18375.0,3954.344534
Four-Door Car,Basic,Offer3,Employed,Single,High School or Below,1.0,63.0,188.325603,86617.0,2518.112127
Four-Door Car,Basic,Offer3,Employed,Married,College,1.0,66.0,159.756733,94041.0,2667.270014
Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,3.0,72.0,19.281882,32224.0,5720.897922
SUV,Extended,Offer1,Employed,Married,Master,1.0,129.0,619.2,68867.0,5220.685297
Two-Door Car,Premium,Offer3,Employed,Divorced,College,1.0,111.0,165.588524,47747.0,4379.770178
SUV,Basic,Offer3,Employed,Divorced,Bachelor,2.0,114.0,547.2,49088.0,13107.92594
Four-Door Car,Basic,Offer2,Unemployed,Married,High School or Below,1.0,74.0,355.2,0.0,2746.080105
Four-Door Car,Basic,Offer1,Employed,Single,High School or Below,9.0,66.0,294.284951,61080.0,5049.689638
Four-Door Car,Basic,Offer1,Disabled,Divorced,Bachelor,1.0,63.0,352.394515,19864.0,2359.423599
Four-Door Car,Basic,Offer1,Retired,Divorced,Bachelor,1.0,63.0,302.4,25905.0,2300.691547
Four-Door Car,Extended,Offer2,Employed,Married,Doctor,6.0,99.0,475.2,63688.0,7949.28426
Four-Door Car,Basic,Offer1,Disabled,Divorced,College,1.0,71.0,340.8,23170.0,2646.573754
Two-Door Car,Basic,Offer3,Employed,Divorced,High School or Below,2.0,65.0,279.715067,42754.0,19079.09518
Four-Door Car,Extended,Offer4,Unemployed,Married,Bachelor,3.0,87.0,417.6,0.0,6361.954003
Sports Car,Extended,Offer2,Employed,Divorced,Doctor,5.0,137.0,657.6,24164.0,10972.06778
Four-Door Car,Basic,Offer3,Disabled,Divorced,Bachelor,3.0,74.0,437.608909,16101.0,5534.569714
Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,3.0,68.0,267.214383,88251.0,5475.337618
Four-Door Car,Extended,Offer2,Employed,Married,Doctor,1.0,99.0,475.2,37384.0,4014.453113
Two-Door Car,Basic,Offer1,Employed,Married,College,2.0,72.0,345.6,27961.0,25581.61014
Two-Door Car,Extended,Offer2,Disabled,Married,High School or Below,9.0,92.0,441.6,27604.0,6969.880958
Two-Door Car,Basic,Offer3,Employed,Married,Master,1.0,65.0,312.0,23692.0,2541.627614
SUV,Premium,Offer1,Employed,Married,High School or Below,7.0,178.0,854.4,74871.0,14517.43681
Four-Door Car,Extended,Offer1,Unemployed,Married,Master,1.0,80.0,286.115778,0.0,2993.024583
SUV,Basic,Offer1,Unemployed,Married,High School or Below,6.0,100.0,480.0,0.0,7550.41865
Sports Car,Extended,Offer4,Unemployed,Single,High School or Below,1.0,135.0,648.0,0.0,4872.577302
Four-Door Car,Premium,Offer1,Employed,Single,Bachelor,6.0,119.0,222.582872,68164.0,9175.171899
Four-Door Car,Extended,Offer1,Unemployed,Married,Bachelor,3.0,93.0,149.269407,0.0,6986.603722
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,3.0,62.0,408.374746,21709.0,4892.435461
Two-Door Car,Basic,Offer2,Employed,Married,Doctor,2.0,62.0,432.480275,58883.0,15118.89548
Two-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,4.0,70.0,585.482275,0.0,4653.094259
SUV,Extended,Offer4,Employed,Single,Bachelor,1.0,134.0,643.2,82166.0,5189.289582
Four-Door Car,Extended,Offer1,Employed,Single,College,1.0,81.0,285.020982,91774.0,3226.516193
Four-Door Car,Extended,Offer1,Unemployed,Divorced,High School or Below,1.0,93.0,446.4,0.0,3052.629532
Four-Door Car,Basic,Offer3,Employed,Divorced,Bachelor,7.0,68.0,326.4,31561.0,5324.38786
Four-Door Car,Extended,Offer1,Employed,Married,High School or Below,6.0,93.0,398.100233,30250.0,7366.093547
Luxury Car,Basic,Offer2,Unemployed,Married,Bachelor,2.0,182.0,873.6,0.0,52811.49112
Two-Door Car,Basic,Offer1,Employed,Single,College,2.0,72.0,313.366255,86901.0,25805.50599
Four-Door Car,Basic,Offer1,Employed,Divorced,College,1.0,65.0,91.941259,72834.0,2464.238061
Four-Door Car,Basic,Offer3,Unemployed,Single,High School or Below,8.0,64.0,628.801638,0.0,4428.038374
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,7.0,61.0,292.8,0.0,4250.282624
SUV,Basic,Offer1,Employed,Single,Bachelor,2.0,104.0,499.2,44428.0,12036.62051
Two-Door Car,Extended,Offer1,Unemployed,Single,High School or Below,7.0,79.0,407.440238,0.0,5568.947534
Four-Door Car,Basic,Offer1,Employed,Single,College,3.0,66.0,316.8,96668.0,5272.191556
Two-Door Car,Basic,Offer2,Employed,Married,College,1.0,64.0,106.591949,83758.0,2585.955652
Two-Door Car,Premium,Offer1,Employed,Married,High School or Below,2.0,105.0,1023.844984,39007.0,12521.42105
Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,2.0,64.0,24.063693,87620.0,7726.993623
SUV,Basic,Offer4,Employed,Married,High School or Below,2.0,103.0,355.409311,64396.0,16373.7273
Four-Door Car,Basic,Offer1,Unemployed,Married,High School or Below,7.0,72.0,345.6,0.0,5341.438779
SUV,Extended,Offer1,Unemployed,Single,Master,2.0,125.0,900.0,0.0,13024.13012
Four-Door Car,Basic,Offer1,Employed,Married,College,9.0,67.0,321.6,55350.0,5380.898636
Four-Door Car,Basic,Offer2,Unemployed,Single,High School or Below,3.0,67.0,482.4,0.0,4858.067125
Two-Door Car,Basic,Offer2,Employed,Married,High School or Below,5.0,67.0,321.6,25714.0,5319.838729
Sports Car,Basic,Offer2,Unemployed,Married,High School or Below,7.0,119.0,856.8,0.0,8500.12195
Four-Door Car,Extended,Offer2,Unemployed,Married,College,4.0,83.0,254.142365,0.0,6259.477847
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,2.0,70.0,504.0,0.0,20123.86854
Four-Door Car,Extended,Offer1,Employed,Married,College,6.0,98.0,346.971517,58345.0,7772.473464
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,2.0,68.0,87.803087,95241.0,8170.621997
Four-Door Car,Basic,Offer1,Employed,Divorced,Master,2.0,67.0,175.97506,53691.0,24138.05975
Four-Door Car,Basic,Offer1,Employed,Divorced,High School or Below,2.0,65.0,183.293091,76590.0,7887.964945
Two-Door Car,Basic,Offer3,Unemployed,Single,College,1.0,65.0,468.0,0.0,2274.647023
Four-Door Car,Basic,Offer3,Employed,Married,College,2.0,62.0,297.6,41440.0,14808.05624
Four-Door Car,Extended,Offer2,Unemployed,Married,Bachelor,3.0,76.0,364.8,0.0,5678.050167
Four-Door Car,Basic,Offer1,Medical Leave,Single,Bachelor,1.0,63.0,302.4,26304.0,2345.129694
Two-Door Car,Premium,Offer1,Employed,Married,College,2.0,102.0,489.6,88340.0,12280.76661
Four-Door Car,Premium,Offer1,Employed,Divorced,High School or Below,2.0,119.0,571.2,46587.0,41787.90343
Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,4.0,66.0,213.574473,88669.0,5320.081159
Four-Door Car,Basic,Offer3,Employed,Married,Doctor,7.0,73.0,419.471438,83308.0,5837.528088
Four-Door Car,Basic,Offer1,Employed,Married,College,9.0,67.0,321.6,55350.0,5380.898636
SUV,Basic,Offer4,Unemployed,Married,High School or Below,2.0,113.0,542.4,0.0,29037.47753
Two-Door Car,Basic,Offer1,Medical Leave,Single,College,4.0,65.0,362.774545,12964.0,4770.550911
Sports Car,Extended,Offer1,Employed,Single,High School or Below,2.0,131.0,810.06514,50461.0,15626.28021
Four-Door Car,Basic,Offer2,Employed,Single,College,3.0,67.0,134.124254,55289.0,5323.267311
SUV,Basic,Offer1,Employed,Married,Bachelor,2.0,106.0,419.365958,73054.0,12741.84754
SUV,Basic,Offer1,Unemployed,Married,College,3.0,110.0,528.0,0.0,7374.077921
Two-Door Car,Extended,Offer1,Retired,Divorced,College,8.0,84.0,403.2,13688.0,6086.431746
Two-Door Car,Extended,Offer2,Employed,Married,High School or Below,3.0,80.0,384.0,44368.0,6366.225775
Four-Door Car,Extended,Offer1,Employed,Married,Master,3.0,92.0,270.563995,71135.0,7396.283653
Four-Door Car,Extended,Offer1,Unemployed,Single,High School or Below,5.0,89.0,640.8,0.0,6414.081362
SUV,Basic,Offer2,Employed,Married,Bachelor,2.0,109.0,676.808053,43000.0,21886.19626
Four-Door Car,Basic,Offer3,Employed,Married,Master,7.0,68.0,387.774781,22908.0,5344.989624
Four-Door Car,Extended,Offer1,Disabled,Married,High School or Below,1.0,91.0,580.622219,16711.0,3499.988408
Four-Door Car,Basic,Offer2,Employed,Single,Bachelor,6.0,72.0,471.443077,74015.0,5555.830205
Four-Door Car,Extended,Offer1,Employed,Married,High School or Below,1.0,77.0,369.6,23277.0,2993.117683
SUV,Extended,Offer1,Medical Leave,Married,High School or Below,1.0,125.0,717.285949,17120.0,4853.100287
Four-Door Car,Premium,Offer2,Employed,Divorced,Bachelor,1.0,118.0,1026.741926,43367.0,4690.793868
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,2.0,66.0,475.2,0.0,6880.63389
Four-Door Car,Extended,Offer1,Employed,Married,Bachelor,4.0,83.0,158.362972,50864.0,6478.801192
Four-Door Car,Premium,Offer2,Employed,Married,Bachelor,1.0,118.0,566.4,40160.0,4579.605586
SUV,Basic,Offer1,Unemployed,Single,Bachelor,1.0,117.0,842.4,0.0,4173.140695
SUV,Basic,Offer1,Employed,Married,College,2.0,114.0,547.2,25285.0,35900.07644
Four-Door Car,Basic,Offer3,Employed,Married,Master,8.0,63.0,12.744774,50363.0,5069.071361
Four-Door Car,Basic,Offer2,Employed,Married,College,2.0,74.0,355.2,83846.0,8717.049833
Four-Door Car,Extended,Offer2,Unemployed,Married,College,5.0,96.0,460.8,0.0,6912.03963
SUV,Basic,Offer1,Retired,Divorced,High School or Below,2.0,101.0,523.815839,20228.0,10408.96865
Two-Door Car,Basic,Offer4,Employed,Married,College,2.0,70.0,224.27582,92717.0,8459.053233
SUV,Basic,Offer3,Employed,Married,Bachelor,4.0,115.0,483.62724,57052.0,9268.672154
Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,5.0,70.0,104.977375,66844.0,5375.821564
Four-Door Car,Basic,Offer4,Employed,Single,High School or Below,1.0,71.0,305.697525,48597.0,2488.241391
Two-Door Car,Extended,Offer1,Employed,Married,High School or Below,1.0,95.0,456.0,33043.0,3801.750407
